age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
22,Private,227994,Some-college,10,Married-spouse-absent,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,39,United-States,<=50K
62,nan,139391,Some-college,10,Married-civ-spouse,nan,Husband,White,Male,0,0,24,United-States,<=50K
22,State-gov,264102,Some-college,10,Never-married,Other-service,Other-relative,Black,Male,0,0,39,Haiti,<=50K
24,Local-gov,317443,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,United-States,<=50K
32,Private,90446,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
35,Local-gov,103260,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,35,United-States,>50K
45,State-gov,276157,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
40,Private,246949,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
27,Private,419146,5th-6th,3,Never-married,Other-service,Not-in-family,White,Male,0,0,75,Mexico,<=50K
32,Private,86723,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,52,United-States,<=50K
34,Private,114973,HS-grad,9,Separated,Exec-managerial,Unmarried,White,Female,0,0,30,United-States,<=50K
58,Self-emp-not-inc,189528,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,84,United-States,<=50K
25,Private,67467,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
44,Self-emp-not-inc,230684,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States,<=50K
21,Private,417668,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,36,United-States,<=50K
61,Private,87300,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
18,Private,205894,11th,7,Never-married,Sales,Own-child,White,Male,0,0,15,United-States,<=50K
40,Private,170730,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
31,Private,382583,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,40,United-States,<=50K
28,Private,232945,HS-grad,9,Separated,Handlers-cleaners,Not-in-family,Other,Male,0,0,30,United-States,<=50K
26,Private,53209,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
46,Private,151325,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
27,Self-emp-not-inc,153805,Some-college,10,Married-civ-spouse,Transport-moving,Other-relative,Other,Male,0,0,50,Ecuador,>50K
51,Private,334679,Assoc-voc,11,Widowed,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
50,State-gov,137815,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
42,Self-emp-not-inc,170649,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K
20,Private,188923,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,37,United-States,<=50K
45,Private,38950,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
50,Private,167065,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
44,Private,129100,11th,7,Separated,Other-service,Unmarried,Black,Female,0,0,60,United-States,<=50K
47,Private,73394,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,<=50K
49,Private,27802,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,40,United-States,>50K
47,Private,270079,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
61,State-gov,224638,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
40,Private,254167,10th,6,Separated,Transport-moving,Own-child,White,Male,0,0,35,United-States,<=50K
39,Private,187921,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,99,United-States,<=50K
28,Private,239753,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
30,Private,29662,Assoc-acdm,12,Married-civ-spouse,Other-service,Wife,White,Female,0,0,25,United-States,>50K
23,Private,131230,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
30,Private,175690,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
35,Private,105821,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,United-States,>50K
39,Private,357118,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,1974,40,United-States,<=50K
30,Private,169583,Bachelors,13,Married-AF-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
39,State-gov,122353,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
33,Private,162930,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,Italy,<=50K
20,nan,424034,Some-college,10,Never-married,nan,Own-child,White,Male,0,0,15,United-States,<=50K
21,Local-gov,176998,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
47,Private,158286,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
43,Private,152420,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,50,United-States,<=50K
24,Private,161092,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
59,Private,59584,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K
42,Private,144594,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
48,Private,105138,HS-grad,9,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
28,Private,180299,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,<=50K
72,Self-emp-not-inc,473748,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,<=50K
41,Private,289551,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,7688,0,40,United-States,>50K
23,Private,117618,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,35,United-States,<=50K
27,Private,247978,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States,<=50K
21,Private,51985,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
38,Private,35890,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
47,Federal-gov,326048,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28,Federal-gov,72514,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,72,United-States,<=50K
26,Private,208881,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,42,United-States,<=50K
46,Private,160647,Bachelors,13,Widowed,Tech-support,Unmarried,White,Female,0,0,38,United-States,<=50K
51,Private,202752,12th,8,Separated,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,<=50K
33,Private,254221,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
34,Private,87310,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,2174,0,40,United-States,<=50K
40,nan,104196,HS-grad,9,Separated,nan,Own-child,White,Male,0,0,45,United-States,<=50K
51,Local-gov,97005,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
42,Private,311920,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1485,17,United-States,>50K
30,Private,267281,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
30,Private,272669,Some-college,10,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
35,Private,202027,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,7298,0,35,United-States,>50K
57,Private,279636,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,>50K
49,Private,186256,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
44,Local-gov,58124,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Male,0,0,45,United-States,<=50K
69,nan,473040,5th-6th,3,Divorced,nan,Not-in-family,White,Male,0,0,40,United-States,<=50K
54,Private,111130,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,50,United-States,>50K
32,Private,118551,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,nan,>50K
27,Private,262723,Some-college,10,Never-married,Machine-op-inspct,Unmarried,Black,Male,0,0,40,United-States,<=50K
53,Self-emp-inc,134854,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Greece,>50K
19,Private,216413,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
26,Private,241852,12th,8,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
37,Private,176967,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
74,Self-emp-not-inc,45319,12th,8,Married-civ-spouse,Other-service,Husband,White,Male,1409,0,20,Canada,<=50K
19,Private,278304,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States,<=50K
68,Private,99849,HS-grad,9,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,28,United-States,<=50K
54,Local-gov,188588,5th-6th,3,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,2001,35,United-States,<=50K
26,Self-emp-not-inc,218993,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,30,United-States,<=50K
51,Private,182944,HS-grad,9,Widowed,Tech-support,Unmarried,Black,Female,0,0,40,United-States,<=50K
34,Private,154874,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,4416,0,30,United-States,<=50K
47,Self-emp-inc,209460,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,40,United-States,>50K
55,Private,247552,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,<=50K
35,State-gov,238591,Some-college,10,Separated,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,<=50K
40,Private,157403,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,0,0,38,United-States,<=50K
41,Private,184630,Bachelors,13,Divorced,Handlers-cleaners,Not-in-family,White,Male,4416,0,40,United-States,<=50K
33,Private,107248,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,45,United-States,<=50K
47,Federal-gov,68493,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,>50K
67,Local-gov,342175,Masters,14,Divorced,Adm-clerical,Not-in-family,White,Female,2009,0,40,United-States,<=50K
25,Private,80312,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,4865,0,40,United-States,<=50K
31,Private,265509,Assoc-voc,11,Separated,Tech-support,Unmarried,Black,Female,0,0,32,United-States,<=50K
39,Private,393480,HS-grad,9,Separated,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
48,Local-gov,452402,Doctorate,16,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,15,United-States,<=50K
33,Private,198727,HS-grad,9,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
45,Self-emp-inc,363298,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,45,United-States,>50K
24,Self-emp-not-inc,35448,HS-grad,9,Separated,Other-service,Unmarried,White,Female,0,0,50,United-States,<=50K
38,Private,332154,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,60,United-States,>50K
23,Private,203139,Some-college,10,Never-married,Other-service,Other-relative,White,Female,0,0,40,United-States,<=50K
35,Private,115215,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,45,United-States,<=50K
71,Private,228806,9th,5,Divorced,Priv-house-serv,Not-in-family,Black,Female,0,0,6,United-States,<=50K
37,Private,168941,11th,7,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
41,Private,165815,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
52,Private,101113,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,66,United-States,>50K
35,Self-emp-not-inc,77146,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2829,0,45,United-States,<=50K
47,Private,284907,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,35330,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,1669,55,United-States,<=50K
60,Federal-gov,27466,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,England,<=50K
42,Local-gov,180985,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,99999,0,40,United-States,>50K
52,Private,202956,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
59,Self-emp-inc,132559,Doctorate,16,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,55,United-States,>50K
24,Private,86745,Bachelors,13,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,0,0,16,United-States,<=50K
52,State-gov,334273,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
41,Private,187881,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,3942,0,40,United-States,<=50K
24,Private,278107,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,60,United-States,<=50K
40,Federal-gov,544792,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
19,State-gov,73009,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,15,United-States,<=50K
32,Private,399088,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
20,Private,277700,Preschool,1,Never-married,Other-service,Own-child,White,Male,0,0,32,United-States,<=50K
22,Private,113703,Some-college,10,Never-married,Sales,Other-relative,White,Male,0,0,20,United-States,<=50K
47,Self-emp-not-inc,294671,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,>50K
22,Self-emp-inc,333197,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,0,2205,45,United-States,<=50K
21,Private,449101,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
24,Private,408585,7th-8th,4,Married-civ-spouse,Farming-fishing,Own-child,White,Female,0,0,45,Mexico,<=50K
31,Private,87535,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,25,United-States,<=50K
56,Private,340171,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K
23,Private,394612,Bachelors,13,Never-married,Tech-support,Own-child,Black,Male,0,0,40,United-States,<=50K
23,Private,195411,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
46,Local-gov,167159,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,70,United-States,>50K
35,Private,189922,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
43,Private,208045,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
37,Private,222450,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,El-Salvador,<=50K
37,Private,255454,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,7298,0,35,Haiti,>50K
27,Federal-gov,47907,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
29,Private,135791,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,50,Cuba,>50K
21,Private,143582,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,0,45,United-States,<=50K
29,Private,239753,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2057,20,United-States,<=50K
41,Self-emp-not-inc,190290,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
35,Private,90273,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,nan,>50K
36,Self-emp-not-inc,129150,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,>50K
29,Private,184224,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
22,Private,54560,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,<=50K
38,Private,65324,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
53,Private,30244,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,>50K
34,Private,140092,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
21,Private,321369,10th,6,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
31,Private,110643,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
67,Self-emp-not-inc,152102,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Male,0,0,65,United-States,<=50K
20,Private,218215,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
29,nan,208406,HS-grad,9,Never-married,nan,Not-in-family,White,Male,0,0,35,United-States,<=50K
34,Private,608881,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
32,Private,72591,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,155232,Bachelors,13,Divorced,Protective-serv,Not-in-family,Black,Male,0,0,60,United-States,>50K
29,Private,131712,11th,7,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
39,Self-emp-not-inc,152587,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
58,Local-gov,215245,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,37,United-States,<=50K
46,Private,233493,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1579,40,United-States,<=50K
37,Private,215503,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,45,United-States,>50K
43,Private,248186,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,<=50K
50,Private,120914,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
51,Private,256051,11th,7,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,1628,40,United-States,<=50K
67,nan,350525,Some-college,10,Married-civ-spouse,nan,Husband,White,Male,0,0,15,United-States,>50K
48,Self-emp-inc,200471,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
32,Private,130007,10th,6,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
39,Self-emp-inc,329980,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,>50K
41,Self-emp-inc,299813,9th,5,Married-civ-spouse,Sales,Wife,White,Female,0,0,70,Dominican-Republic,<=50K
40,Self-emp-inc,182629,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
36,Private,358373,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,Black,Female,0,0,36,United-States,<=50K
47,Private,140644,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
65,Private,176796,Doctorate,16,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
54,Private,329733,HS-grad,9,Never-married,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,>50K
63,nan,106648,HS-grad,9,Married-civ-spouse,nan,Husband,White,Male,0,0,25,United-States,<=50K
48,Private,80651,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,55,United-States,<=50K
32,Federal-gov,566117,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
25,Private,208117,Bachelors,13,Never-married,Prof-specialty,Other-relative,White,Male,0,0,40,United-States,<=50K
37,Self-emp-inc,183800,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,1887,40,United-States,>50K
20,Private,197752,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,16,United-States,<=50K
32,Private,264554,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
41,Private,287037,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Private,333990,Assoc-voc,11,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K
55,Local-gov,177163,Masters,14,Widowed,Prof-specialty,Unmarried,White,Female,914,0,50,United-States,<=50K
67,Self-emp-not-inc,268514,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
69,Self-emp-not-inc,187332,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,20051,0,45,United-States,>50K
38,Private,170174,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
41,Self-emp-not-inc,129865,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,60,United-States,<=50K
46,Local-gov,36228,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1902,40,United-States,<=50K
32,Private,261059,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,50,United-States,<=50K
36,Private,94954,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Female,0,0,40,United-States,<=50K
44,Self-emp-not-inc,92162,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Private,149787,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
26,Self-emp-inc,384276,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
18,nan,103497,Some-college,10,Never-married,nan,Own-child,White,Female,0,0,30,United-States,<=50K
55,Private,124137,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,0,0,40,Poland,<=50K
38,Private,101192,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
49,Private,255559,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
42,Self-emp-not-inc,178780,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
24,Private,325744,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Federal-gov,285432,Assoc-acdm,12,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,<=50K
28,Private,108706,HS-grad,9,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,United-States,>50K
24,Private,241857,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,35,United-States,<=50K
26,Private,248990,11th,7,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
23,Private,248978,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,<=50K
23,Private,178207,Some-college,10,Never-married,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Female,0,0,35,United-States,<=50K
22,Private,141698,10th,6,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
31,Self-emp-not-inc,349148,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,United-States,<=50K
30,Self-emp-not-inc,113838,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,3137,0,60,Germany,<=50K
17,Private,566049,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,8,United-States,<=50K
39,State-gov,235379,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
